[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E01] b0000 | loss=1.6097 | acc=0.203
[E01] b0010 | loss=1.5337 | acc=0.344
[E01] b0020 | loss=1.4214 | acc=0.320
[E01] b0030 | loss=1.1928 | acc=0.508
[E01] b0040 | loss=1.0395 | acc=0.656
[E01] b0050 | loss=0.9240 | acc=0.625
[E01] b0060 | loss=0.8099 | acc=0.695
[E01] b0070 | loss=0.8004 | acc=0.773
[E01] b0080 | loss=0.8227 | acc=0.680
[E01] b0090 | loss=0.7805 | acc=0.719
[E01] b0100 | loss=0.7305 | acc=0.750
[E01] b0110 | loss=0.8128 | acc=0.742
[E01] b0120 | loss=0.8093 | acc=0.711
[E01] b0130 | loss=0.6949 | acc=0.797
[E01] b0140 | loss=0.8567 | acc=0.711
[E01] b0150 | loss=0.7711 | acc=0.773
[E01] b0160 | loss=0.7662 | acc=0.719
[E01] b0170 | loss=0.8212 | acc=0.711
[E01] b0180 | loss=0.7629 | acc=0.734
[E01] b0190 | loss=0.8351 | acc=0.719
[E01] b0200 | loss=0.7211 | acc=0.781
[E01] b0210 | loss=0.7667 | acc=0.758
[E01] b0220 | loss=0.6872 | acc=0.773
[E01] b0230 | loss=0.7936 | acc=0.695
[E01] b0240 | loss=0.7126 | acc=0.734
[E01] b0250 | loss=0.7018 | acc=0.766
[E01] b0260 | loss=0.5929 | acc=0.805
[E01] b0270 | loss=0.7557 | acc=0.781
[E01] b0280 | loss=0.6906 | acc=0.750
[E01] b0290 | loss=0.7247 | acc=0.758
[E01] b0300 | loss=0.6749 | acc=0.742
[E01] b0310 | loss=0.6892 | acc=0.734
[E01] b0320 | loss=0.8112 | acc=0.742
[E01] b0330 | loss=0.7212 | acc=0.766
[E01] b0340 | loss=0.7866 | acc=0.734
[E01] b0350 | loss=0.7008 | acc=0.797
[E01] b0360 | loss=0.7388 | acc=0.750
[E01] b0370 | loss=0.7180 | acc=0.734
[E01] b0380 | loss=0.6645 | acc=0.812
[E01] b0390 | loss=0.5400 | acc=0.867
[E01] b0400 | loss=0.6193 | acc=0.797
[E01] b0410 | loss=0.5931 | acc=0.852
[E01] b0420 | loss=0.7822 | acc=0.734
[E01] b0430 | loss=0.5918 | acc=0.844
[E01] b0440 | loss=0.8570 | acc=0.734
[E01] b0450 | loss=0.5723 | acc=0.828
[E01] b0460 | loss=0.6060 | acc=0.812
[E01] b0470 | loss=0.6418 | acc=0.789
[E01] b0480 | loss=0.6543 | acc=0.797
[E01] b0490 | loss=0.5215 | acc=0.836
[E01] b0500 | loss=0.6929 | acc=0.781
[E01] b0510 | loss=0.6001 | acc=0.836
[E01] b0520 | loss=0.7812 | acc=0.695
[E01] b0530 | loss=0.8130 | acc=0.688
[E01] b0540 | loss=0.6909 | acc=0.781
[E01] b0550 | loss=0.6272 | acc=0.805
[E01] b0560 | loss=0.6045 | acc=0.820
[E01] b0570 | loss=0.6373 | acc=0.844
[E01] b0580 | loss=0.6765 | acc=0.781
[E01] b0590 | loss=0.7364 | acc=0.711
[E01] b0600 | loss=0.5831 | acc=0.805
[E01] b0610 | loss=0.7070 | acc=0.750
[E01] b0620 | loss=0.6428 | acc=0.773
[E01] b0630 | loss=0.6820 | acc=0.727
[E01] b0640 | loss=0.6539 | acc=0.812
[E01] b0650 | loss=0.6014 | acc=0.812
[E01] b0660 | loss=0.6832 | acc=0.750
[E01] b0670 | loss=0.6688 | acc=0.781
[E01] b0680 | loss=0.6057 | acc=0.820
[E01] b0690 | loss=0.5466 | acc=0.867
[E01] b0700 | loss=0.5823 | acc=0.828
[E01] b0710 | loss=0.7301 | acc=0.711
[E01] b0720 | loss=0.6750 | acc=0.805
[E01] b0730 | loss=0.6358 | acc=0.812
[E01] b0740 | loss=0.6589 | acc=0.805
[E01] b0750 | loss=0.6083 | acc=0.812
[E01] b0760 | loss=0.6206 | acc=0.812
[E01] b0770 | loss=0.6273 | acc=0.820
[E01] b0780 | loss=0.6660 | acc=0.797
[E01] b0790 | loss=0.6792 | acc=0.812
[E01] b0800 | loss=0.6417 | acc=0.805
[E01] b0810 | loss=0.6975 | acc=0.789
[E01] b0820 | loss=0.6167 | acc=0.812
[E01] b0830 | loss=0.6440 | acc=0.766
[E01] b0840 | loss=0.5315 | acc=0.867
[E01] b0850 | loss=0.6442 | acc=0.789
[E01] b0860 | loss=0.6981 | acc=0.781
[E01] b0870 | loss=0.6497 | acc=0.805
[E01] b0880 | loss=0.5706 | acc=0.820
[E01] b0890 | loss=0.6830 | acc=0.820
[E01] b0900 | loss=0.6276 | acc=0.820
[E01] b0910 | loss=0.6633 | acc=0.797
[E01] b0920 | loss=0.6211 | acc=0.828
[E01] b0930 | loss=0.6333 | acc=0.805
[E01] b0940 | loss=0.7552 | acc=0.766
[E01] b0950 | loss=0.6506 | acc=0.820
[E01] b0960 | loss=0.6175 | acc=0.820
[E01] b0970 | loss=0.6464 | acc=0.781
[E01] b0980 | loss=0.6815 | acc=0.750
[E01] b0990 | loss=0.6185 | acc=0.836
[E01] b1000 | loss=0.5418 | acc=0.836
[E01] b1010 | loss=0.7087 | acc=0.766
[E01] b1020 | loss=0.6277 | acc=0.797
[E01] total_loss=726.269 | VAL acc=0.890 | F1=0.733 | kappa=0.789
[SAVE] New best BiLSTM (by F1)
[E02] b0000 | loss=0.7369 | acc=0.758
[E02] b0010 | loss=0.6138 | acc=0.812
[E02] b0020 | loss=0.6094 | acc=0.805
[E02] b0030 | loss=0.6485 | acc=0.805
[E02] b0040 | loss=0.6824 | acc=0.828
