[CV] k=10 fold=2
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4022E0', 'SC4032E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4021E0', 'SC4031E0', 'SC4041E0', 'SC4241E0', 'SC4251E0'] ...
=== DEVICE: cuda ===
=== START TRAIN (CV fold) ===
[F2] [E02] batch 0460 | loss=0.7510 | acc=0.758
[F2] [E02] batch 0470 | loss=0.7627 | acc=0.730
[F2] [E02] total_loss=361.953 | VAL acc=0.932 | F1=0.754 | kappa=0.839
[F2] [E03] batch 0000 | loss=0.7110 | acc=0.785
[F2] [E03] batch 0010 | loss=0.7661 | acc=0.758
[F2] [E03] batch 0020 | loss=0.6669 | acc=0.812
[F2] [E03] batch 0030 | loss=0.7966 | acc=0.758
[F2] [E03] batch 0040 | loss=0.7739 | acc=0.734
[F2] [E03] batch 0050 | loss=0.7337 | acc=0.785
[F2] [E03] batch 0060 | loss=0.7138 | acc=0.793
[F2] [E03] batch 0070 | loss=0.7598 | acc=0.734
[F2] [E03] batch 0080 | loss=0.7302 | acc=0.773
[F2] [E03] batch 0090 | loss=0.6521 | acc=0.824
[F2] [E03] batch 0100 | loss=0.6869 | acc=0.797
[F2] [E03] batch 0110 | loss=0.7180 | acc=0.781
[F2] [E03] batch 0120 | loss=0.7789 | acc=0.723
[F2] [E03] batch 0130 | loss=0.7768 | acc=0.750
[F2] [E03] batch 0140 | loss=0.7877 | acc=0.730
[F2] [E03] batch 0150 | loss=0.7456 | acc=0.777
[F2] [E03] batch 0160 | loss=0.7706 | acc=0.742
[F2] [E03] batch 0170 | loss=0.8126 | acc=0.734
[F2] [E03] batch 0180 | loss=0.7325 | acc=0.773
[F2] [E03] batch 0190 | loss=0.8050 | acc=0.738
[F2] [E03] batch 0200 | loss=0.7064 | acc=0.789
[F2] [E03] batch 0210 | loss=0.7117 | acc=0.766
[F2] [E03] batch 0220 | loss=0.6841 | acc=0.812
[F2] [E03] batch 0230 | loss=0.7478 | acc=0.766
[F2] [E03] batch 0240 | loss=0.7672 | acc=0.773
[F2] [E03] batch 0250 | loss=0.7150 | acc=0.801
[F2] [E03] batch 0260 | loss=0.8473 | acc=0.703
[F2] [E03] batch 0270 | loss=0.7118 | acc=0.773
[F2] [E03] batch 0280 | loss=0.8177 | acc=0.723
[F2] [E03] batch 0290 | loss=0.7385 | acc=0.793
[F2] [E03] batch 0300 | loss=0.6928 | acc=0.797
[F2] [E03] batch 0310 | loss=0.7247 | acc=0.781
[F2] [E03] batch 0320 | loss=0.7464 | acc=0.766
[F2] [E03] batch 0330 | loss=0.6823 | acc=0.805
[F2] [E03] batch 0340 | loss=0.7077 | acc=0.770
[F2] [E03] batch 0350 | loss=0.7534 | acc=0.789
[F2] [E03] batch 0360 | loss=0.7766 | acc=0.742
[F2] [E03] batch 0370 | loss=0.7378 | acc=0.789
[F2] [E03] batch 0380 | loss=0.6668 | acc=0.805
[F2] [E03] batch 0390 | loss=0.7178 | acc=0.785
[F2] [E03] batch 0400 | loss=0.7752 | acc=0.781
[F2] [E03] batch 0410 | loss=0.7027 | acc=0.805
[F2] [E03] batch 0420 | loss=0.7253 | acc=0.789
[F2] [E03] batch 0430 | loss=0.7198 | acc=0.754
[F2] [E03] batch 0440 | loss=0.7270 | acc=0.766
[F2] [E03] batch 0450 | loss=0.7226 | acc=0.781
[F2] [E03] batch 0460 | loss=0.7117 | acc=0.801
[F2] [E03] batch 0470 | loss=0.7029 | acc=0.797
[F2] [E03] total_loss=351.856 | VAL acc=0.932 | F1=0.772 | kappa=0.843
[SAVE] best fold=2 (by VAL F1)
[F2] [E04] batch 0000 | loss=0.6986 | acc=0.754
[F2] [E04] batch 0010 | loss=0.7181 | acc=0.781
[F2] [E04] batch 0020 | loss=0.6837 | acc=0.805
[F2] [E04] batch 0030 | loss=0.6938 | acc=0.805
[F2] [E04] batch 0040 | loss=0.7060 | acc=0.805
[F2] [E04] batch 0050 | loss=0.7160 | acc=0.770
[F2] [E04] batch 0060 | loss=0.7254 | acc=0.770
[F2] [E04] batch 0070 | loss=0.7941 | acc=0.738
[F2] [E04] batch 0080 | loss=0.7800 | acc=0.730
[F2] [E04] batch 0090 | loss=0.7310 | acc=0.816
[F2] [E04] batch 0100 | loss=0.7567 | acc=0.754
[F2] [E04] batch 0110 | loss=0.7535 | acc=0.773
[F2] [E04] batch 0120 | loss=0.6821 | acc=0.781
[F2] [E04] batch 0130 | loss=0.7374 | acc=0.762
[F2] [E04] batch 0140 | loss=0.7147 | acc=0.789
[F2] [E04] batch 0150 | loss=0.6654 | acc=0.805
[F2] [E04] batch 0160 | loss=0.6588 | acc=0.809
[F2] [E04] batch 0170 | loss=0.7457 | acc=0.746
[F2] [E04] batch 0180 | loss=0.7147 | acc=0.789
[F2] [E04] batch 0190 | loss=0.7473 | acc=0.766
[F2] [E04] batch 0200 | loss=0.7292 | acc=0.754
[F2] [E04] batch 0210 | loss=0.6870 | acc=0.816
[F2] [E04] batch 0220 | loss=0.7062 | acc=0.781
[F2] [E04] batch 0230 | loss=0.6681 | acc=0.797
[F2] [E04] batch 0240 | loss=0.7434 | acc=0.773
[F2] [E04] batch 0250 | loss=0.7908 | acc=0.727
[F2] [E04] batch 0260 | loss=0.6291 | acc=0.828
[F2] [E04] batch 0270 | loss=0.7426 | acc=0.766
