[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E01] b0000 | loss=1.6097 | acc=0.203
[E01] b0010 | loss=1.5337 | acc=0.344
[E01] b0020 | loss=1.4214 | acc=0.320
[E01] b0030 | loss=1.1928 | acc=0.508
[E01] b0040 | loss=1.0395 | acc=0.656
[E01] b0050 | loss=0.9240 | acc=0.625
[E01] b0060 | loss=0.8098 | acc=0.695
[E01] b0070 | loss=0.8005 | acc=0.773
[E01] b0080 | loss=0.8224 | acc=0.680
[E01] b0090 | loss=0.7807 | acc=0.719
[E01] b0100 | loss=0.7298 | acc=0.750
[E01] b0110 | loss=0.8123 | acc=0.742
[E01] b0120 | loss=0.8097 | acc=0.719
[E01] b0130 | loss=0.6954 | acc=0.789
[E01] b0140 | loss=0.8558 | acc=0.695
[E01] b0150 | loss=0.7714 | acc=0.766
[E01] b0160 | loss=0.7660 | acc=0.719
[E01] b0170 | loss=0.8203 | acc=0.711
[E01] b0180 | loss=0.7629 | acc=0.742
[E01] b0190 | loss=0.8349 | acc=0.719
[E01] b0200 | loss=0.7221 | acc=0.773
[E01] b0210 | loss=0.7667 | acc=0.758
[E01] b0220 | loss=0.6871 | acc=0.773
[E01] b0230 | loss=0.7932 | acc=0.695
[E01] b0240 | loss=0.7137 | acc=0.742
[E01] b0250 | loss=0.7028 | acc=0.766
[E01] b0260 | loss=0.5923 | acc=0.805
[E01] b0270 | loss=0.7574 | acc=0.781
[E01] b0280 | loss=0.6910 | acc=0.750
[E01] b0290 | loss=0.7239 | acc=0.758
[E01] b0300 | loss=0.6739 | acc=0.750
[E01] b0310 | loss=0.6891 | acc=0.742
[E01] b0320 | loss=0.8136 | acc=0.742
[E01] b0330 | loss=0.7221 | acc=0.758
[E01] b0340 | loss=0.7872 | acc=0.734
[E01] b0350 | loss=0.7017 | acc=0.797
[E01] b0360 | loss=0.7393 | acc=0.750
[E01] b0370 | loss=0.7180 | acc=0.742
[E01] b0380 | loss=0.6640 | acc=0.805
[E01] b0390 | loss=0.5404 | acc=0.867
[E01] b0400 | loss=0.6213 | acc=0.797
[E01] b0410 | loss=0.5932 | acc=0.852
[E01] b0420 | loss=0.7830 | acc=0.734
[E01] b0430 | loss=0.5932 | acc=0.844
[E01] b0440 | loss=0.8573 | acc=0.734
[E01] b0450 | loss=0.5711 | acc=0.820
[E01] b0460 | loss=0.6050 | acc=0.812
[E01] b0470 | loss=0.6412 | acc=0.789
[E01] b0480 | loss=0.6541 | acc=0.797
[E01] b0490 | loss=0.5202 | acc=0.844
[E01] b0500 | loss=0.6925 | acc=0.781
[E01] b0510 | loss=0.6003 | acc=0.836
[E01] b0520 | loss=0.7823 | acc=0.695
[E01] b0530 | loss=0.8128 | acc=0.688
[E01] b0540 | loss=0.6892 | acc=0.781
[E01] b0550 | loss=0.6278 | acc=0.805
[E01] b0560 | loss=0.6069 | acc=0.805
[E01] b0570 | loss=0.6385 | acc=0.844
[E01] b0580 | loss=0.6752 | acc=0.789
[E01] b0590 | loss=0.7359 | acc=0.711
[E01] b0600 | loss=0.5850 | acc=0.805
[E01] b0610 | loss=0.7092 | acc=0.758
[E01] b0620 | loss=0.6421 | acc=0.781
[E01] b0630 | loss=0.6818 | acc=0.734
[E01] b0640 | loss=0.6538 | acc=0.812
[E01] b0650 | loss=0.6000 | acc=0.820
[E01] b0660 | loss=0.6843 | acc=0.750
[E01] b0670 | loss=0.6677 | acc=0.781
[E01] b0680 | loss=0.6049 | acc=0.820
[E01] b0690 | loss=0.5446 | acc=0.867
[E01] b0700 | loss=0.5826 | acc=0.812
[E01] b0710 | loss=0.7305 | acc=0.719
[E01] b0720 | loss=0.6741 | acc=0.797
[E01] b0730 | loss=0.6348 | acc=0.812
[E01] b0740 | loss=0.6581 | acc=0.805
[E01] b0750 | loss=0.6075 | acc=0.812
[E01] b0760 | loss=0.6213 | acc=0.812
[E01] b0770 | loss=0.6281 | acc=0.805
[E01] b0780 | loss=0.6648 | acc=0.805
[E01] b0790 | loss=0.6785 | acc=0.812
[E01] b0800 | loss=0.6427 | acc=0.805
[E01] b0810 | loss=0.6981 | acc=0.789
[E01] b0820 | loss=0.6136 | acc=0.812
[E01] b0830 | loss=0.6433 | acc=0.766
[E01] b0840 | loss=0.5321 | acc=0.867
[E01] b0850 | loss=0.6439 | acc=0.781
[E01] b0860 | loss=0.6953 | acc=0.781
[E01] b0870 | loss=0.6490 | acc=0.805
[E01] b0880 | loss=0.5685 | acc=0.836
[E01] b0890 | loss=0.6841 | acc=0.828
[E01] b0900 | loss=0.6285 | acc=0.820
[E01] b0910 | loss=0.6605 | acc=0.805
[E01] b0920 | loss=0.6210 | acc=0.820
[E01] b0930 | loss=0.6335 | acc=0.805
[E01] b0940 | loss=0.7553 | acc=0.758
[E01] b0950 | loss=0.6520 | acc=0.805
[E01] b0960 | loss=0.6161 | acc=0.828
[E01] b0970 | loss=0.6447 | acc=0.789
[E01] b0980 | loss=0.6825 | acc=0.750
[E01] b0990 | loss=0.6161 | acc=0.852
[E01] b1000 | loss=0.5445 | acc=0.828
[E01] b1010 | loss=0.7053 | acc=0.773
[E01] b1020 | loss=0.6274 | acc=0.797
[E01] total_loss=726.253 | VAL acc=0.882 | F1=0.728 | kappa=0.776
[SAVE] New best BiLSTM (by F1)
[E02] b0000 | loss=0.7343 | acc=0.758
[E02] b0010 | loss=0.6151 | acc=0.812
[E02] b0020 | loss=0.6098 | acc=0.812
[E02] b0030 | loss=0.6485 | acc=0.805
[E02] b0040 | loss=0.6844 | acc=0.828
