START: Sat Dec 27 05:01:44 EET 2025
JOB: 196379 TASK: 6
Sat Dec 27 05:01:44 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.144.03             Driver Version: 550.144.03     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:0B:00.0 Off |                    0 |
| N/A   41C    P0             48W /  300W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[CV] k=10 fold=6
[CV] TRAIN subjects (45): ['SC4011E0', 'SC4012E0', 'SC4021E0', 'SC4031E0', 'SC4032E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4002E0', 'SC4022E0', 'SC4102E0', 'SC4151E0', 'SC4191E0'] ...
=== DEVICE: cuda ===
=== seq_len=21 stride=1 batch_size=16 ===
=== Transformer: d_model=128 heads=4 layers=2 ff=256 dropout=0.1 ===
=== START TRAIN (SeqTransformer CV fold) ===
[F6] [E01] batch 0000 | loss=2.1050 | acc=0.125
[F6] [E01] batch 0020 | loss=0.8115 | acc=0.750
[F6] [E01] batch 0040 | loss=0.5408 | acc=0.938
[F6] [E01] batch 0060 | loss=0.6793 | acc=0.812
[F6] [E01] batch 0080 | loss=0.6029 | acc=0.812
[F6] [E01] batch 0100 | loss=0.5474 | acc=0.875
[F6] [E01] batch 0120 | loss=0.4065 | acc=0.875
[F6] [E01] batch 0140 | loss=0.4130 | acc=0.938
[F6] [E01] batch 0160 | loss=0.6791 | acc=0.812
[F6] [E01] batch 0180 | loss=0.4541 | acc=0.812
[F6] [E01] batch 0200 | loss=0.4283 | acc=0.938
[F6] [E01] batch 0220 | loss=0.2985 | acc=1.000
[F6] [E01] batch 0240 | loss=0.3150 | acc=1.000
[F6] [E01] batch 0260 | loss=0.4272 | acc=0.938
[F6] [E01] batch 0280 | loss=0.6112 | acc=0.875
[F6] [E01] batch 0300 | loss=0.5834 | acc=0.875
[F6] [E01] batch 0320 | loss=0.2497 | acc=1.000
[F6] [E01] batch 0340 | loss=0.4298 | acc=0.875
[F6] [E01] batch 0360 | loss=0.5380 | acc=0.875
[F6] [E01] batch 0380 | loss=0.3301 | acc=0.938
[F6] [E01] batch 0400 | loss=0.4224 | acc=0.875
[F6] [E01] batch 0420 | loss=0.2428 | acc=1.000
[F6] [E01] batch 0440 | loss=0.5539 | acc=0.750
[F6] [E01] batch 0460 | loss=0.4717 | acc=0.875
[F6] [E01] batch 0480 | loss=0.9011 | acc=0.750
[F6] [E01] batch 0500 | loss=0.7540 | acc=0.750
[F6] [E01] batch 0520 | loss=0.3437 | acc=0.938
[F6] [E01] batch 0540 | loss=0.3655 | acc=0.938
[F6] [E01] batch 0560 | loss=0.5003 | acc=0.875
[F6] [E01] batch 0580 | loss=0.5133 | acc=0.875
[F6] [E01] batch 0600 | loss=0.6422 | acc=0.875
[F6] [E01] batch 0620 | loss=0.6811 | acc=0.875
[F6] [E01] batch 0640 | loss=0.3129 | acc=0.938
[F6] [E01] batch 0660 | loss=0.5944 | acc=0.750
[F6] [E01] batch 0680 | loss=0.4388 | acc=0.875
[F6] [E01] batch 0700 | loss=0.3737 | acc=0.938
[F6] [E01] batch 0720 | loss=0.5382 | acc=0.812
[F6] [E01] batch 0740 | loss=0.3589 | acc=0.938
[F6] [E01] batch 0760 | loss=0.4910 | acc=0.875
[F6] [E01] batch 0780 | loss=0.4502 | acc=0.875
[F6] [E01] batch 0800 | loss=0.3534 | acc=0.938
[F6] [E01] batch 0820 | loss=0.3503 | acc=1.000
[F6] [E01] batch 0840 | loss=0.3471 | acc=0.938
[F6] [E01] batch 0860 | loss=0.3910 | acc=0.938
[F6] [E01] batch 0880 | loss=0.2778 | acc=1.000
[F6] [E01] batch 0900 | loss=0.5888 | acc=0.875
[F6] [E01] batch 0920 | loss=0.3405 | acc=0.938
[F6] [E01] batch 0940 | loss=0.4183 | acc=0.938
[F6] [E01] batch 0960 | loss=0.5117 | acc=0.938
[F6] [E01] batch 0980 | loss=0.5331 | acc=0.875
[F6] [E01] batch 1000 | loss=0.3844 | acc=1.000
[F6] [E01] batch 1020 | loss=0.5123 | acc=0.812
[F6] [E01] batch 1040 | loss=0.2451 | acc=1.000
[F6] [E01] batch 1060 | loss=0.2963 | acc=0.938
[F6] [E01] batch 1080 | loss=0.2924 | acc=1.000
[F6] [E01] batch 1100 | loss=0.5180 | acc=0.875
[F6] [E01] batch 1120 | loss=0.4424 | acc=0.875
[F6] [E01] batch 1140 | loss=0.4261 | acc=0.938
[F6] [E01] batch 1160 | loss=0.3647 | acc=0.938
[F6] [E01] batch 1180 | loss=0.2556 | acc=1.000
[F6] [E01] batch 1200 | loss=0.8984 | acc=0.750
[F6] [E01] batch 1220 | loss=0.4676 | acc=0.938
[F6] [E01] batch 1240 | loss=0.5165 | acc=0.875
[F6] [E01] batch 1260 | loss=0.4260 | acc=0.938
[F6] [E01] batch 1280 | loss=0.2511 | acc=1.000
[F6] [E01] batch 1300 | loss=0.2789 | acc=1.000
[F6] [E01] batch 1320 | loss=0.6335 | acc=0.812
[F6] [E01] batch 1340 | loss=0.3098 | acc=1.000
[F6] [E01] batch 1360 | loss=0.3803 | acc=0.938
[F6] [E01] batch 1380 | loss=0.4935 | acc=0.875
[F6] [E01] batch 1400 | loss=0.2941 | acc=1.000
[F6] [E01] batch 1420 | loss=0.4290 | acc=0.875
[F6] [E01] batch 1440 | loss=0.3045 | acc=0.938
[F6] [E01] batch 1460 | loss=0.2438 | acc=1.000
[F6] [E01] batch 1480 | loss=0.2612 | acc=1.000
[F6] [E01] batch 1500 | loss=0.5390 | acc=0.875
[F6] [E01] batch 1520 | loss=0.2782 | acc=1.000
[F6] [E01] batch 1540 | loss=0.5542 | acc=0.875
[F6] [E01] batch 1560 | loss=0.6546 | acc=0.938
[F6] [E01] batch 1580 | loss=0.3786 | acc=0.938
[F6] [E01] batch 1600 | loss=0.3264 | acc=0.938
[F6] [E01] batch 1620 | loss=0.5588 | acc=0.812
[F6] [E01] batch 1640 | loss=0.7404 | acc=0.750
[F6] [E01] batch 1660 | loss=0.4311 | acc=0.938
[F6] [E01] batch 1680 | loss=0.6354 | acc=0.812
[F6] [E01] batch 1700 | loss=0.2722 | acc=1.000
[F6] [E01] batch 1720 | loss=0.5030 | acc=0.875
[F6] [E01] batch 1740 | loss=0.3914 | acc=0.938
[F6] [E01] batch 1760 | loss=0.7461 | acc=0.750
[F6] [E01] batch 1780 | loss=0.3135 | acc=1.000
[F6] [E01] batch 1800 | loss=0.7404 | acc=0.812
[F6] [E01] batch 1820 | loss=0.8131 | acc=0.812
[F6] [E01] batch 1840 | loss=0.4541 | acc=0.875
[F6] [E01] batch 1860 | loss=0.5944 | acc=0.875
[F6] [E01] batch 1880 | loss=0.3897 | acc=0.938
[F6] [E01] batch 1900 | loss=0.5082 | acc=0.875
[F6] [E01] batch 1920 | loss=0.4374 | acc=0.938
[F6] [E01] batch 1940 | loss=0.3259 | acc=1.000
[F6] [E01] batch 1960 | loss=0.4034 | acc=0.938
[F6] [E01] batch 1980 | loss=0.3432 | acc=0.938
[F6] [E01] batch 2000 | loss=0.6861 | acc=0.875
[F6] [E01] batch 2020 | loss=0.4993 | acc=0.875
[F6] [E01] batch 2040 | loss=0.7853 | acc=0.750
[F6] [E01] batch 2060 | loss=0.2862 | acc=1.000
[F6] [E01] batch 2080 | loss=0.3709 | acc=0.938
[F6] [E01] batch 2100 | loss=0.4433 | acc=0.875
[F6] [E01] batch 2120 | loss=0.3287 | acc=1.000
[F6] [E01] batch 2140 | loss=0.6163 | acc=0.812
[F6] [E01] batch 2160 | loss=0.2544 | acc=1.000
[F6] [E01] batch 2180 | loss=0.4629 | acc=0.938
[F6] [E01] batch 2200 | loss=0.5025 | acc=0.875
[F6] [E01] batch 2220 | loss=0.4548 | acc=0.938
[F6] [E01] batch 2240 | loss=0.6699 | acc=0.812
[F6] [E01] batch 2260 | loss=0.4006 | acc=0.938
[F6] [E01] batch 2280 | loss=0.3462 | acc=0.875
[F6] [E01] batch 2300 | loss=0.2573 | acc=1.000
[F6] [E01] batch 2320 | loss=0.2938 | acc=0.938
[F6] [E01] batch 2340 | loss=0.4058 | acc=0.938
[F6] [E01] batch 2360 | loss=0.6258 | acc=0.875
[F6] [E01] batch 2380 | loss=0.2961 | acc=1.000
[F6] [E01] batch 2400 | loss=0.2957 | acc=0.938
[F6] [E01] batch 2420 | loss=0.2833 | acc=1.000
[F6] [E01] batch 2440 | loss=0.2295 | acc=1.000
[F6] [E01] batch 2460 | loss=0.3506 | acc=0.938
[F6] [E01] batch 2480 | loss=0.4397 | acc=0.875
[F6] [E01] batch 2500 | loss=0.4866 | acc=0.938
[F6] [E01] batch 2520 | loss=0.2519 | acc=1.000
[F6] [E01] batch 2540 | loss=0.6877 | acc=0.812
[F6] [E01] batch 2560 | loss=0.5219 | acc=0.875
[F6] [E01] batch 2580 | loss=0.2410 | acc=1.000
[F6] [E01] batch 2600 | loss=0.4272 | acc=0.875
[F6] [E01] batch 2620 | loss=0.4980 | acc=0.938
