[INFO] Transformer | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
[DBG] model dtype: torch.float32
=== START TRAIN (Transformer) ===
[E01] b1250 | loss=0.5871 | acc=0.833
[E01] b1260 | loss=0.7859 | acc=0.729
[E01] b1270 | loss=0.6207 | acc=0.865
[E01] b1280 | loss=0.6342 | acc=0.802
[E01] b1290 | loss=0.7703 | acc=0.719
[E01] b1300 | loss=0.6800 | acc=0.771
[E01] b1310 | loss=0.5743 | acc=0.854
[E01] b1320 | loss=0.6462 | acc=0.823
[E01] b1330 | loss=0.6731 | acc=0.802
[E01] b1340 | loss=0.6071 | acc=0.833
[E01] b1350 | loss=0.6176 | acc=0.781
[E01] b1360 | loss=0.7374 | acc=0.750
[E01] total_loss=1033.418 | VAL acc=0.885 | F1=0.708 | kappa=0.777
[SAVE] New best Transformer (by F1)
[E02] b0000 | loss=0.5400 | acc=0.865
[E02] b0010 | loss=0.6380 | acc=0.771
[E02] b0020 | loss=0.5737 | acc=0.844
[E02] b0030 | loss=0.6255 | acc=0.802
[E02] b0040 | loss=0.6212 | acc=0.833
[E02] b0050 | loss=0.5879 | acc=0.844
[E02] b0060 | loss=0.6357 | acc=0.802
[E02] b0070 | loss=0.5661 | acc=0.875
[E02] b0080 | loss=0.5290 | acc=0.875
[E02] b0090 | loss=0.7491 | acc=0.792
[E02] b0100 | loss=0.5922 | acc=0.844
[E02] b0110 | loss=0.7770 | acc=0.708
[E02] b0120 | loss=0.6012 | acc=0.865
[E02] b0130 | loss=0.6282 | acc=0.792
[E02] b0140 | loss=0.5840 | acc=0.812
[E02] b0150 | loss=0.5762 | acc=0.823
[E02] b0160 | loss=0.6646 | acc=0.792
[E02] b0170 | loss=0.6136 | acc=0.833
[E02] b0180 | loss=0.5570 | acc=0.812
[E02] b0190 | loss=0.6330 | acc=0.781
[E02] b0200 | loss=0.5507 | acc=0.844
[E02] b0210 | loss=0.7438 | acc=0.760
[E02] b0220 | loss=0.7180 | acc=0.771
[E02] b0230 | loss=0.6146 | acc=0.854
[E02] b0240 | loss=0.6673 | acc=0.802
[E02] b0250 | loss=0.6832 | acc=0.760
[E02] b0260 | loss=0.6785 | acc=0.792
[E02] b0270 | loss=0.6000 | acc=0.823
[E02] b0280 | loss=0.6838 | acc=0.771
[E02] b0290 | loss=0.6585 | acc=0.792
[E02] b0300 | loss=0.6015 | acc=0.865
[E02] b0310 | loss=0.7958 | acc=0.698
[E02] b0320 | loss=0.6180 | acc=0.833
[E02] b0330 | loss=0.4661 | acc=0.896
[E02] b0340 | loss=0.6326 | acc=0.812
[E02] b0350 | loss=0.7326 | acc=0.729
[E02] b0360 | loss=0.5992 | acc=0.833
[E02] b0370 | loss=0.6938 | acc=0.781
[E02] b0380 | loss=0.6424 | acc=0.792
[E02] b0390 | loss=0.5313 | acc=0.885
[E02] b0400 | loss=0.7006 | acc=0.760
[E02] b0410 | loss=0.7121 | acc=0.802
[E02] b0420 | loss=0.7757 | acc=0.750
[E02] b0430 | loss=0.5921 | acc=0.823
[E02] b0440 | loss=0.6960 | acc=0.771
[E02] b0450 | loss=0.7441 | acc=0.740
[E02] b0460 | loss=0.6030 | acc=0.854
[E02] b0470 | loss=0.6488 | acc=0.771
[E02] b0480 | loss=0.5588 | acc=0.823
[E02] b0490 | loss=0.6161 | acc=0.854
[E02] b0500 | loss=0.6554 | acc=0.802
[E02] b0510 | loss=0.7604 | acc=0.760
[E02] b0520 | loss=0.6849 | acc=0.781
[E02] b0530 | loss=0.6979 | acc=0.760
[E02] b0540 | loss=0.5659 | acc=0.823
[E02] b0550 | loss=0.7192 | acc=0.760
[E02] b0560 | loss=0.8126 | acc=0.719
[E02] b0570 | loss=0.6852 | acc=0.729
[E02] b0580 | loss=0.6125 | acc=0.833
[E02] b0590 | loss=0.4632 | acc=0.896
[E02] b0600 | loss=0.6224 | acc=0.802
[E02] b0610 | loss=0.8816 | acc=0.698
[E02] b0620 | loss=0.7269 | acc=0.771
[E02] b0630 | loss=0.7035 | acc=0.802
[E02] b0640 | loss=0.7103 | acc=0.771
[E02] b0650 | loss=0.6080 | acc=0.833
[E02] b0660 | loss=0.5425 | acc=0.885
[E02] b0670 | loss=0.6993 | acc=0.792
[E02] b0680 | loss=0.5262 | acc=0.875
[E02] b0690 | loss=0.5823 | acc=0.844
[E02] b0700 | loss=0.6419 | acc=0.802
[E02] b0710 | loss=0.6486 | acc=0.781
[E02] b0720 | loss=0.5610 | acc=0.802
[E02] b0730 | loss=0.5952 | acc=0.802
[E02] b0740 | loss=0.5766 | acc=0.844
[E02] b0750 | loss=0.7617 | acc=0.760
[E02] b0760 | loss=0.5483 | acc=0.875
[E02] b0770 | loss=0.5816 | acc=0.844
[E02] b0780 | loss=0.5732 | acc=0.833
[E02] b0790 | loss=0.6072 | acc=0.833
[E02] b0800 | loss=0.8163 | acc=0.719
[E02] b0810 | loss=0.7774 | acc=0.729
[E02] b0820 | loss=0.6550 | acc=0.844
[E02] b0830 | loss=0.5079 | acc=0.854
[E02] b0840 | loss=0.6026 | acc=0.771
[E02] b0850 | loss=0.6133 | acc=0.802
[E02] b0860 | loss=0.4969 | acc=0.896
