[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E02] b0200 | loss=0.5766 | acc=0.859
[E02] b0210 | loss=0.5968 | acc=0.805
[E02] b0220 | loss=0.6276 | acc=0.781
[E02] b0230 | loss=0.6793 | acc=0.773
[E02] b0240 | loss=0.5905 | acc=0.812
[E02] b0250 | loss=0.7004 | acc=0.766
[E02] b0260 | loss=0.6479 | acc=0.820
[E02] b0270 | loss=0.6570 | acc=0.805
[E02] b0280 | loss=0.5778 | acc=0.859
[E02] b0290 | loss=0.6348 | acc=0.805
[E02] b0300 | loss=0.6525 | acc=0.773
[E02] b0310 | loss=0.6276 | acc=0.797
[E02] b0320 | loss=0.6259 | acc=0.820
[E02] b0330 | loss=0.5081 | acc=0.859
[E02] b0340 | loss=0.5173 | acc=0.867
[E02] b0350 | loss=0.7115 | acc=0.766
[E02] b0360 | loss=0.6109 | acc=0.805
[E02] b0370 | loss=0.6232 | acc=0.789
[E02] b0380 | loss=0.6685 | acc=0.797
[E02] b0390 | loss=0.5174 | acc=0.836
[E02] b0400 | loss=0.6360 | acc=0.828
[E02] b0410 | loss=0.6321 | acc=0.797
[E02] b0420 | loss=0.6605 | acc=0.766
[E02] b0430 | loss=0.5489 | acc=0.844
[E02] b0440 | loss=0.5504 | acc=0.789
[E02] b0450 | loss=0.7159 | acc=0.766
[E02] b0460 | loss=0.6481 | acc=0.805
[E02] b0470 | loss=0.6301 | acc=0.797
[E02] b0480 | loss=0.6915 | acc=0.789
[E02] b0490 | loss=0.6642 | acc=0.812
[E02] b0500 | loss=0.5607 | acc=0.852
[E02] b0510 | loss=0.6138 | acc=0.828
[E02] b0520 | loss=0.5427 | acc=0.859
[E02] b0530 | loss=0.6292 | acc=0.859
[E02] b0540 | loss=0.6946 | acc=0.781
[E02] b0550 | loss=0.5630 | acc=0.844
[E02] b0560 | loss=0.5963 | acc=0.844
[E02] b0570 | loss=0.5509 | acc=0.844
[E02] b0580 | loss=0.5478 | acc=0.852
[E02] b0590 | loss=0.6005 | acc=0.820
[E02] b0600 | loss=0.6818 | acc=0.781
[E02] b0610 | loss=0.5532 | acc=0.852
[E02] b0620 | loss=0.6683 | acc=0.797
[E02] b0630 | loss=0.4988 | acc=0.906
[E02] b0640 | loss=0.5756 | acc=0.844
[E02] b0650 | loss=0.5674 | acc=0.859
[E02] b0660 | loss=0.6759 | acc=0.812
[E02] b0670 | loss=0.5816 | acc=0.805
[E02] b0680 | loss=0.5801 | acc=0.828
