JOB ID: 196324
FOLD: 2
HOST: node-38
START: Wed Dec 24 23:32:05 EET 2025
Wed Dec 24 23:32:05 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.144.03             Driver Version: 550.144.03     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:0A:00.0 Off |                    0 |
| N/A   45C    P0             44W /  300W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[CV] k=10 fold=2
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4022E0', 'SC4032E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4021E0', 'SC4031E0', 'SC4041E0', 'SC4241E0', 'SC4251E0'] ...
=== DEVICE: cuda ===
=== seq_len=21 stride=1 batch_size=64 ===
=== Transformer: d_model=128 heads=4 layers=2 ff=256 dropout=0.1 ===
=== START TRAIN (SeqTransformer CV fold) ===
[F2] [E01] batch 0000 | loss=1.8787 | acc=0.203
[F2] [E01] batch 0020 | loss=0.4773 | acc=0.891
[F2] [E01] batch 0040 | loss=0.5654 | acc=0.859
[F2] [E01] batch 0060 | loss=0.4980 | acc=0.891
[F2] [E01] batch 0080 | loss=0.4270 | acc=0.906
[F2] [E01] batch 0100 | loss=0.4421 | acc=0.891
[F2] [E01] batch 0120 | loss=0.4445 | acc=0.859
[F2] [E01] batch 0140 | loss=0.6239 | acc=0.844
[F2] [E01] batch 0160 | loss=0.4507 | acc=0.891
[F2] [E01] batch 0180 | loss=0.3138 | acc=0.984
[F2] [E01] batch 0200 | loss=0.4745 | acc=0.906
[F2] [E01] batch 0220 | loss=0.3912 | acc=0.875
[F2] [E01] batch 0240 | loss=0.4029 | acc=0.891
[F2] [E01] batch 0260 | loss=0.4024 | acc=0.922
[F2] [E01] batch 0280 | loss=0.5218 | acc=0.844
[F2] [E01] batch 0300 | loss=0.5505 | acc=0.844
[F2] [E01] batch 0320 | loss=0.5049 | acc=0.906
[F2] [E01] batch 0340 | loss=0.6158 | acc=0.828
[F2] [E01] batch 0360 | loss=0.3930 | acc=0.922
[F2] [E01] batch 0380 | loss=0.4452 | acc=0.906
[F2] [E01] batch 0400 | loss=0.2865 | acc=1.000
[F2] [E01] batch 0420 | loss=0.4033 | acc=0.922
[F2] [E01] batch 0440 | loss=0.4191 | acc=0.922
[F2] [E01] batch 0460 | loss=0.3275 | acc=0.938
[F2] [E01] batch 0480 | loss=0.4360 | acc=0.906
[F2] [E01] batch 0500 | loss=0.4307 | acc=0.938
[F2] [E01] batch 0520 | loss=0.4001 | acc=0.906
[F2] [E01] batch 0540 | loss=0.3449 | acc=0.953
[F2] [E01] batch 0560 | loss=0.4092 | acc=0.906
[F2] [E01] batch 0580 | loss=0.4340 | acc=0.906
[F2] [E01] batch 0600 | loss=0.4830 | acc=0.938
[F2] [E01] batch 0620 | loss=0.4275 | acc=0.906
[F2] [E01] batch 0640 | loss=0.3309 | acc=0.953
[F2] [E01] batch 0660 | loss=0.4924 | acc=0.875
[F2] [E01] batch 0680 | loss=0.4201 | acc=0.953
[F2] [E01] batch 0700 | loss=0.4173 | acc=0.906
[F2] [E01] batch 0720 | loss=0.3396 | acc=0.953
[F2] [E01] batch 0740 | loss=0.2626 | acc=1.000
[F2] [E01] batch 0760 | loss=0.5120 | acc=0.859
[F2] [E01] batch 0780 | loss=0.4572 | acc=0.922
[F2] [E01] batch 0800 | loss=0.4732 | acc=0.891
[F2] [E01] batch 0820 | loss=0.2817 | acc=0.969
[F2] [E01] batch 0840 | loss=0.2657 | acc=1.000
[F2] [E01] batch 0860 | loss=0.3923 | acc=0.938
[F2] [E01] batch 0880 | loss=0.3971 | acc=0.922
[F2] [E01] batch 0900 | loss=0.4697 | acc=0.938
[F2] [E01] batch 0920 | loss=0.3942 | acc=0.906
[F2] [E01] batch 0940 | loss=0.4223 | acc=0.891
[F2] [E01] batch 0960 | loss=0.3277 | acc=0.953
[F2] [E01] batch 0980 | loss=0.3355 | acc=0.953
[F2] [E01] batch 1000 | loss=0.3590 | acc=0.953
[F2] [E01] batch 1020 | loss=0.3770 | acc=0.953
[F2] [E01] batch 1040 | loss=0.3700 | acc=0.922
[F2] [E01] batch 1060 | loss=0.3963 | acc=0.938
[F2] [E01] batch 1080 | loss=0.5367 | acc=0.859
[F2] [E01] batch 1100 | loss=0.4176 | acc=0.922
[F2] [E01] batch 1120 | loss=0.4268 | acc=0.875
[F2] [E01] batch 1140 | loss=0.2930 | acc=0.969
[F2] [E01] batch 1160 | loss=0.4329 | acc=0.906
[F2] [E01] batch 1180 | loss=0.3814 | acc=0.953
[F2] [E01] batch 1200 | loss=0.4321 | acc=0.891
[F2] [E01] batch 1220 | loss=0.4092 | acc=0.906
[F2] [E01] batch 1240 | loss=0.3116 | acc=0.969
[F2] [E01] batch 1260 | loss=0.4049 | acc=0.938
[F2] [E01] batch 1280 | loss=0.3075 | acc=0.969
[F2] [E01] batch 1300 | loss=0.3286 | acc=0.969
[F2] [E01] batch 1320 | loss=0.4830 | acc=0.906
[F2] [E01] batch 1340 | loss=0.3691 | acc=0.969
[F2] [E01] batch 1360 | loss=0.3084 | acc=0.953
[F2] [E01] batch 1380 | loss=0.3957 | acc=0.938
[F2] [E01] batch 1400 | loss=0.3906 | acc=0.906
[F2] [E01] batch 1420 | loss=0.3481 | acc=0.938
[F2] [E01] batch 1440 | loss=0.4293 | acc=0.938
[F2] [E01] batch 1460 | loss=0.4205 | acc=0.906
[F2] [E01] batch 1480 | loss=0.4136 | acc=0.906
[F2] [E01] batch 1500 | loss=0.2857 | acc=0.984
[F2] [E01] batch 1520 | loss=0.3731 | acc=0.906
[F2] [E01] batch 1540 | loss=0.4116 | acc=0.922
[F2] [E01] batch 1560 | loss=0.2541 | acc=1.000
[F2] [E01] batch 1580 | loss=0.2918 | acc=0.969
[F2] [E01] batch 1600 | loss=0.3711 | acc=0.922
[F2] [E01] batch 1620 | loss=0.4438 | acc=0.875
[F2] [E01] batch 1640 | loss=0.4080 | acc=0.938
[F2] [E01] batch 1660 | loss=0.2673 | acc=0.984
[F2] [E01] batch 1680 | loss=0.3557 | acc=0.953
[F2] [E01] batch 1700 | loss=0.3307 | acc=0.953
[F2] [E01] batch 1720 | loss=0.3663 | acc=0.922
[F2] [E01] batch 1740 | loss=0.4655 | acc=0.891
[F2] [E01] batch 1760 | loss=0.3126 | acc=0.984
[F2] [E01] batch 1780 | loss=0.3041 | acc=0.969
[F2] [E01] batch 1800 | loss=0.3423 | acc=0.953
[F2] [E01] batch 1820 | loss=0.3881 | acc=0.922
[F2] [E01] batch 1840 | loss=0.3407 | acc=0.938
[F2] [E01] batch 1860 | loss=0.4797 | acc=0.922
[F2] [E01] batch 1880 | loss=0.4012 | acc=0.922
[F2] [E01] batch 1900 | loss=0.4095 | acc=0.922
[F2] [E01] total_loss=766.540 | VAL acc=0.960 | F1=0.809 | kappa=0.902
[SAVE] best fold=2 (by VAL F1) -> /scratch/lustre/home/viju8335/projects/sleep-staging-bsc/models/best_seqtransformer_fold2.pth
[F2] [E02] batch 0000 | loss=0.3693 | acc=0.922
[F2] [E02] batch 0020 | loss=0.5047 | acc=0.859
[F2] [E02] batch 0040 | loss=0.4004 | acc=0.938
[F2] [E02] batch 0060 | loss=0.2976 | acc=0.953
[F2] [E02] batch 0080 | loss=0.4140 | acc=0.906
[F2] [E02] batch 0100 | loss=0.3528 | acc=0.938
[F2] [E02] batch 0120 | loss=0.3542 | acc=0.938
[F2] [E02] batch 0140 | loss=0.4047 | acc=0.922
[F2] [E02] batch 0160 | loss=0.4819 | acc=0.875
[F2] [E02] batch 0180 | loss=0.4340 | acc=0.906
[F2] [E02] batch 0200 | loss=0.3781 | acc=0.938
[F2] [E02] batch 0220 | loss=0.2759 | acc=0.984
[F2] [E02] batch 0240 | loss=0.3995 | acc=0.938
