[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E01] b0000 | loss=1.6097 | acc=0.203
[E01] b0010 | loss=1.5337 | acc=0.344
[E01] b0020 | loss=1.4214 | acc=0.320
[E01] b0030 | loss=1.1928 | acc=0.508
[E01] b0040 | loss=1.0395 | acc=0.656
[E01] b0050 | loss=0.9240 | acc=0.625
[E01] b0060 | loss=0.8097 | acc=0.695
[E01] b0070 | loss=0.8004 | acc=0.773
[E01] b0080 | loss=0.8230 | acc=0.680
[E01] b0090 | loss=0.7804 | acc=0.719
[E01] b0100 | loss=0.7301 | acc=0.750
[E01] b0110 | loss=0.8131 | acc=0.742
[E01] b0120 | loss=0.8101 | acc=0.711
[E01] b0130 | loss=0.6956 | acc=0.789
[E01] b0140 | loss=0.8568 | acc=0.695
[E01] b0150 | loss=0.7705 | acc=0.766
[E01] b0160 | loss=0.7666 | acc=0.719
[E01] b0170 | loss=0.8195 | acc=0.711
[E01] b0180 | loss=0.7631 | acc=0.742
[E01] b0190 | loss=0.8344 | acc=0.719
[E01] b0200 | loss=0.7219 | acc=0.773
[E01] b0210 | loss=0.7650 | acc=0.766
[E01] b0220 | loss=0.6880 | acc=0.773
[E01] b0230 | loss=0.7930 | acc=0.695
[E01] b0240 | loss=0.7137 | acc=0.742
[E01] b0250 | loss=0.7036 | acc=0.766
[E01] b0260 | loss=0.5928 | acc=0.805
[E01] b0270 | loss=0.7581 | acc=0.781
[E01] b0280 | loss=0.6906 | acc=0.758
[E01] b0290 | loss=0.7231 | acc=0.766
[E01] b0300 | loss=0.6737 | acc=0.742
[E01] b0310 | loss=0.6884 | acc=0.742
[E01] b0320 | loss=0.8133 | acc=0.742
[E01] b0330 | loss=0.7215 | acc=0.758
[E01] b0340 | loss=0.7867 | acc=0.734
[E01] b0350 | loss=0.7018 | acc=0.797
[E01] b0360 | loss=0.7380 | acc=0.750
[E01] b0370 | loss=0.7171 | acc=0.742
[E01] b0380 | loss=0.6636 | acc=0.812
[E01] b0390 | loss=0.5392 | acc=0.867
[E01] b0400 | loss=0.6210 | acc=0.797
[E01] b0410 | loss=0.5908 | acc=0.852
[E01] b0420 | loss=0.7829 | acc=0.734
[E01] b0430 | loss=0.5948 | acc=0.844
[E01] b0440 | loss=0.8568 | acc=0.734
[E01] b0450 | loss=0.5707 | acc=0.812
[E01] b0460 | loss=0.6023 | acc=0.812
[E01] b0470 | loss=0.6403 | acc=0.789
[E01] b0480 | loss=0.6551 | acc=0.789
[E01] b0490 | loss=0.5210 | acc=0.859
[E01] b0500 | loss=0.6914 | acc=0.781
[E01] b0510 | loss=0.6008 | acc=0.836
[E01] b0520 | loss=0.7817 | acc=0.703
[E01] b0530 | loss=0.8147 | acc=0.688
[E01] b0540 | loss=0.6908 | acc=0.781
[E01] b0550 | loss=0.6280 | acc=0.805
[E01] b0560 | loss=0.6055 | acc=0.812
[E01] b0570 | loss=0.6376 | acc=0.844
[E01] b0580 | loss=0.6744 | acc=0.789
[E01] b0590 | loss=0.7332 | acc=0.711
[E01] b0600 | loss=0.5857 | acc=0.812
[E01] b0610 | loss=0.7099 | acc=0.758
[E01] b0620 | loss=0.6438 | acc=0.773
[E01] b0630 | loss=0.6829 | acc=0.734
[E01] b0640 | loss=0.6555 | acc=0.820
[E01] b0650 | loss=0.6014 | acc=0.820
[E01] b0660 | loss=0.6835 | acc=0.758
[E01] b0670 | loss=0.6686 | acc=0.789
[E01] b0680 | loss=0.6065 | acc=0.820
[E01] b0690 | loss=0.5480 | acc=0.867
[E01] b0700 | loss=0.5851 | acc=0.805
[E01] b0710 | loss=0.7285 | acc=0.719
[E01] b0720 | loss=0.6736 | acc=0.797
[E01] b0730 | loss=0.6361 | acc=0.805
[E01] b0740 | loss=0.6582 | acc=0.805
[E01] b0750 | loss=0.6100 | acc=0.805
[E01] b0760 | loss=0.6216 | acc=0.805
[E01] b0770 | loss=0.6304 | acc=0.805
[E01] b0780 | loss=0.6657 | acc=0.805
[E01] b0790 | loss=0.6823 | acc=0.805
[E01] b0800 | loss=0.6426 | acc=0.805
[E01] b0810 | loss=0.6972 | acc=0.789
[E01] b0820 | loss=0.6149 | acc=0.812
[E01] b0830 | loss=0.6457 | acc=0.773
[E01] b0840 | loss=0.5302 | acc=0.867
[E01] b0850 | loss=0.6445 | acc=0.773
[E01] b0860 | loss=0.6954 | acc=0.781
[E01] b0870 | loss=0.6510 | acc=0.805
[E01] b0880 | loss=0.5719 | acc=0.820
[E01] b0890 | loss=0.6822 | acc=0.828
[E01] b0900 | loss=0.6270 | acc=0.812
[E01] b0910 | loss=0.6601 | acc=0.805
[E01] b0920 | loss=0.6219 | acc=0.820
[E01] b0930 | loss=0.6328 | acc=0.805
[E01] b0940 | loss=0.7581 | acc=0.750
[E01] b0950 | loss=0.6507 | acc=0.812
[E01] b0960 | loss=0.6192 | acc=0.828
[E01] b0970 | loss=0.6466 | acc=0.766
[E01] b0980 | loss=0.6827 | acc=0.766
[E01] b0990 | loss=0.6189 | acc=0.844
[E01] b1000 | loss=0.5442 | acc=0.844
[E01] b1010 | loss=0.7073 | acc=0.773
[E01] b1020 | loss=0.6303 | acc=0.797
[E01] total_loss=726.252 | VAL acc=0.885 | F1=0.732 | kappa=0.781
[SAVE] New best BiLSTM (by F1)
[E02] b0000 | loss=0.7368 | acc=0.758
[E02] b0010 | loss=0.6135 | acc=0.812
[E02] b0020 | loss=0.6119 | acc=0.805
[E02] b0030 | loss=0.6460 | acc=0.805
[E02] b0040 | loss=0.6842 | acc=0.828
